IDATE,LAT,LON,ELEVATION_m,ACRES,PPT_mm,TMIN_c,TMEAN_c,TMAX_c,TDMEAN_c,VPDMIN_hpa,VPDMAX_hpa,lfmc_mean,lfmc_stdv,Mean_Sea_Level_Pressure,Mean_Station_Pressure,Mean_Wind_Speed,Maximum_Sustained_Wind_Speed,NAMELSAD,population
2012-05-03 00:00:00,33.7361,-116.8172,746,0.1,0,9.8,13.5,17.1,8.6,0.5,7.8,134.585,21.330524,1011.6,979.5,7.5,14.4,Riverside County,1569533
2012-05-04 00:00:00,34.3417,-117.4542,1121,0.1,0,8.9,13.9,18.8,7.4,1.63,9.89,75.605,30.950266,1014.9,978,7.4,15.1,San Bernardino County,1440622
2012-05-05 00:00:00,32.8694,-116.4136,1666,0.1,0,4.2,12,19.7,-1.4,2.17,17.85,235.4125,34.070957,1013.1,1006.3,7,14.3,San Diego County,2371145
2012-05-05 00:00:00,33.9483,-116.8383,831,0.3,0,8.9,15.9,23,6.8,1.38,17.78,45.14,16.445164,1012.5,980.5,7.1,15.1,Riverside County,1569533
2012-05-05 00:00:00,34.33,-118.0192,1675,0.1,0,4.8,10.6,16.4,4.5,0.42,3.15,140.78,16.017555,1015.3,967.1,7.3,14.9,Los Angeles County,7416397
2012-05-05 00:00:00,37.8969,-118.9839,2091,0.1,0,-1.6,7.2,16,-10,2.52,15.36,118.565,31.47864,1018.3,898,9.2,17.7,Mono County,11223
2012-05-06 00:00:00,33.7802,-117.4208,590,15.6,0,9.6,17.8,26,10.2,0.27,22.03,8.885,8.662839,1013.4,992.2,5.3,12.5,Riverside County,1569533
2012-05-06 00:00:00,39.9533,-120.8817,1200,1.9,0,0.6,9.4,18.3,-6.7,1.69,17.55,137.245,34.516155,1019.6,903.7,9.6,17,Plumas County,16406
2012-05-07 00:00:00,41.0842,-123.6883,216,0.1,0,6.6,16.7,26.8,4.9,0.97,27.99,107.0875,19.069624,1020.5,996.6,5.1,12.7,Humboldt County,107562
2012-05-08 00:00:00,36.9681,-119.1361,1161,1,0,8.6,16.3,24.1,0.1,6.51,21.29,296.34,44.146965,1014.2,947,5.7,13.7,Fresno County,652943
2012-05-08 00:00:00,37.1367,-119.5142,514,0.25,0,8.6,18.8,29,2.3,5.16,31.64,129.36,36.53216,1013.8,948.7,5.6,13.4,Fresno County,652943
2012-05-09 00:00:00,34.1028,-117.0128,1337,0.1,0,9.9,18.8,27.7,-8,8.1,35.07,237.63,25.558552,1009.4,973,4.7,13.6,San Bernardino County,1440622
2012-05-09 00:00:00,40.7656,-122.2019,346,0.5,0,12.3,22.6,32.9,3.3,6.38,44.11,181.4875,31.220947,1012.6,913.6,5.5,11.6,Shasta County,137571
2012-05-10 00:00:00,39.8014,-123.2528,427,0.2,0,5.4,17.5,29.6,5.1,0.33,29,298.3975,42.65272,1014.1,1002.4,7.3,16.5,Mendocino County,68380
2012-05-10 00:00:00,39.8314,-123.2386,507,0.1,0,4.8,17,29.2,4.6,0.24,27.82,142.5825,26.780785,1014.1,1002.4,7.5,16.7,Mendocino County,68380
2012-05-11 00:00:00,38.9242,-120.0703,2177,0.1,0,2,8.7,15.4,-5.4,2.66,14.4,126.8825,19.394108,1013.6,918.5,6.3,15.3,El Dorado County,139883
2012-05-12 00:00:00,34.2483,-117.4392,874,0.5,0,7.9,16.6,25.4,6.6,0.98,19.65,244.8475,30.922436,1014.1,979.2,5.3,13.5,San Bernardino County,1440622
2012-05-12 00:00:00,34.3433,-117.4492,1121,0.1,0,7.1,16.9,26.7,4.7,2.2,25.83,39.5525,19.90584,1013.9,977.5,5.5,14.1,San Bernardino County,1440622
2012-05-12 00:00:00,34.55,-118.6692,665,0.1,0,11,18.2,25.5,7.1,2.48,22.05,99.0125,29.697401,1015.5,990,6.7,14.1,Los Angeles County,7416397
2012-05-12 00:00:00,41.3039,-123.5333,290,0.25,0,8.1,19.9,31.7,0.9,3.97,44.1,108.685,25.812366,1017.4,921.1,3.6,8.7,Humboldt County,107562
2012-05-13 00:00:00,33.1269,-116.8033,691,0.1,0,8.6,18.3,28.1,6.5,1.52,28.37,74.63,21.936012,1015.4,994.2,5.2,12.4,San Diego County,2371145
2012-05-13 00:00:00,40.0689,-120.9467,1434,0.01,0,7.9,17.2,26.6,-5,7.29,30.28,125.1675,14.332156,1014.6,910.8,4.8,10.6,Plumas County,16406
2012-05-14 00:00:00,37.3194,-119.575,1091,0.1,0,10,20.3,30.7,7.5,1.94,35.16,121.9475,16.806145,1014.4,947,6.8,14.3,Madera County,108016
2012-05-14 00:00:00,40.3611,-121.5597,1793,0.3,0,6,16.1,26.2,-0.9,2.12,30.78,106.5,17.297457,1014.2,913.3,6.7,13.2,Tehama County,47303
2012-05-14 00:00:00,40.3719,-121.5175,1661,0.5,0,5.3,16,26.7,-1.1,1.73,31.92,121.8875,20.024525,1014.1,912.5,6.7,13.2,Tehama County,47303
2012-05-14 00:00:00,41.0608,-123.67,227,0.2,0,10.1,21.3,32.4,5,3.12,39.22,109.85,18.73191,1017.8,929.4,6.4,12.2,Humboldt County,107562
2012-05-15 00:00:00,34.5783,-118.7014,902,0.1,0,7.7,16.6,25.5,0.3,3.43,26.49,123.64,24.942041,1013.7,988.3,6.7,16.2,Los Angeles County,7416397
2012-05-15 00:00:00,34.6731,-118.4556,1069,0.2,0,10.7,18.7,26.6,-0.9,5.14,30.61,112.83,20.914316,1013.2,982.8,6.8,17.4,Los Angeles County,7416397
2012-05-15 00:00:00,37.7262,-119.6364,1808,0.1,0,4.1,11.5,19,1,1.84,15.48,142.6075,36.94231,1013.5,938.3,6.5,13.5,Mariposa County,15009
2012-05-16 00:00:00,40.7375,-121.0458,1975,0.5,0,6,15.1,24.3,1.6,2.24,24.01,107.02,17.619396,1013.4,898.7,5.5,13.2,Lassen County,28602
2012-05-16 00:00:00,41.0725,-123.6864,417,0.1,0,8.9,19.6,30.3,9.2,1.2,32.21,105.9725,18.880823,1017.2,929.2,5.9,12.3,Humboldt County,107562
2012-05-17 00:00:00,33.4517,-117.2115,394,2,0,12.4,20.9,29.5,12.5,0.46,25.37,99.785,20.205921,1009.4,986.4,6.9,14.3,Riverside County,1569533
2012-05-17 00:00:00,33.5343,-116.7883,1132,45,0,9.8,21.3,32.9,3.5,5.69,42.68,46.815,15.151329,1007.1,978.8,7.1,14.6,Riverside County,1569533
2012-05-17 00:00:00,34.335,-117.5236,1317,0,0,11.1,22.9,34.7,1.9,6.59,50.46,55.175,12.81643,1007.8,973.2,7.2,15.5,San Bernardino County,1440622
2012-05-17 00:00:00,40.6383,-121.2922,1689,0.1,0,6.3,15.4,24.4,0,1.85,25.91,220.2475,32.00739,1009.8,900.3,9.2,21,Lassen County,28602
2012-05-17 00:00:00,40.7217,-120.8481,1724,0.2,0,5.9,15.8,25.7,-2.2,2.23,29.04,123.83,21.02544,1009.8,892.3,9.4,21.3,Lassen County,28602
2012-05-17 00:00:00,41.8028,-123.3153,445,0.1,0,10,20.7,31.4,4.6,2.84,38.81,83.3575,13.423578,1015.3,905.6,9.3,21.4,Siskiyou County,35575
2012-05-18 00:00:00,33.4512,-116.8475,831,0.5,0,9.8,20.9,32.1,8.1,0.19,37.81,56.7025,14.8726845,1007.5,981,10,17.4,Riverside County,1569533
